publisher,topic,total_time_seconds
10.0.0.3:5556,A,0.0004138946533203125
10.0.0.3:5556,A,0.0005154609680175781
10.0.0.3:5556,A,0.0005276203155517578
10.0.0.3:5556,A,0.0005364418029785156
10.0.0.3:5556,A,0.0005590915679931641
10.0.0.3:5556,A,0.000553131103515625
10.0.0.3:5556,A,0.0005350112915039062
10.0.0.3:5556,A,0.0005958080291748047
10.0.0.3:5556,A,0.0005152225494384766
10.0.0.3:5556,A,0.0005540847778320312
10.0.0.3:5556,A,0.0005159378051757812
10.0.0.3:5556,A,0.0006411075592041016
10.0.0.3:5556,A,0.0005631446838378906
