publisher,topic,total_time_seconds
127.0.0.1:5556,A,0.0007123947143554688
127.0.0.1:5556,A,0.000812530517578125
127.0.0.1:5556,A,0.0006852149963378906
127.0.0.1:5556,A,0.0006833076477050781
127.0.0.1:5556,A,0.0006258487701416016
127.0.0.1:5556,A,0.0006399154663085938
127.0.0.1:5556,A,0.0007531642913818359
127.0.0.1:5556,A,0.0006563663482666016
127.0.0.1:5556,A,0.0005495548248291016
127.0.0.1:5556,A,0.0008826255798339844
127.0.0.1:5556,A,0.0008709430694580078
127.0.0.1:5556,A,0.0009334087371826172
127.0.0.1:5556,A,0.00060272216796875
127.0.0.1:5556,A,0.0008025169372558594
127.0.0.1:5556,A,0.0006344318389892578
127.0.0.1:5556,A,0.0008494853973388672
127.0.0.1:5556,A,0.0008337497711181641
127.0.0.1:5556,A,0.0008702278137207031
127.0.0.1:5556,A,0.0008883476257324219
127.0.0.1:5556,A,0.0006220340728759766
127.0.0.1:5556,A,0.0010693073272705078
127.0.0.1:5556,A,0.0007078647613525391
127.0.0.1:5556,A,0.0009799003601074219
127.0.0.1:5556,A,0.0006060600280761719
127.0.0.1:5556,A,0.0007102489471435547
127.0.0.1:5556,A,0.001241922378540039
127.0.0.1:5556,A,0.0005981922149658203
127.0.0.1:5556,A,0.0007708072662353516
127.0.0.1:5556,A,0.0008482933044433594
127.0.0.1:5556,A,0.0008533000946044922
