publisher,topic,total_time_seconds
127.0.0.1:5557,D,0.0005702972412109375
127.0.0.1:5556,A,0.0016717910766601562
127.0.0.1:5557,D,0.0007319450378417969
127.0.0.1:5556,A,0.007089376449584961
127.0.0.1:5557,D,0.0006039142608642578
127.0.0.1:5556,A,0.0006396770477294922
127.0.0.1:5557,D,0.0014140605926513672
127.0.0.1:5556,A,0.0013895034790039062
127.0.0.1:5557,D,0.0016982555389404297
127.0.0.1:5556,A,0.0007071495056152344
127.0.0.1:5557,D,0.0007185935974121094
127.0.0.1:5556,A,0.0007982254028320312
127.0.0.1:5557,D,0.0007390975952148438
127.0.0.1:5556,A,0.0015249252319335938
127.0.0.1:5557,D,0.0012516975402832031
127.0.0.1:5556,A,0.0006937980651855469
127.0.0.1:5557,D,0.0011713504791259766
127.0.0.1:5556,A,0.0006735324859619141
127.0.0.1:5557,D,0.0013337135314941406
127.0.0.1:5556,A,0.0006427764892578125
127.0.0.1:5556,A,0.0008628368377685547
127.0.0.1:5557,D,0.0006868839263916016
127.0.0.1:5556,A,0.0015573501586914062
127.0.0.1:5557,D,0.0012943744659423828
127.0.0.1:5556,A,0.0008070468902587891
127.0.0.1:5557,D,0.0007348060607910156
127.0.0.1:5556,A,0.0007145404815673828
127.0.0.1:5557,D,0.0006926059722900391
127.0.0.1:5556,A,0.0007569789886474609
127.0.0.1:5557,D,0.0007297992706298828
127.0.0.1:5556,A,0.0007650852203369141
127.0.0.1:5557,D,0.0006663799285888672
127.0.0.1:5556,A,0.0009257793426513672
127.0.0.1:5557,D,0.0019991397857666016
127.0.0.1:5556,A,0.0006465911865234375
127.0.0.1:5557,D,0.0006749629974365234
127.0.0.1:5556,A,0.001256704330444336
127.0.0.1:5557,D,0.0010459423065185547
127.0.0.1:5556,A,0.0012662410736083984
127.0.0.1:5557,D,0.0008127689361572266
127.0.0.1:5556,A,0.0014290809631347656
127.0.0.1:5557,D,0.0009775161743164062
127.0.0.1:5556,A,0.0007138252258300781
127.0.0.1:5557,D,0.0006349086761474609
127.0.0.1:5556,A,0.0006489753723144531
127.0.0.1:5557,D,0.0006761550903320312
127.0.0.1:5556,A,0.0007627010345458984
127.0.0.1:5557,D,0.0007178783416748047
127.0.0.1:5556,A,0.0011963844299316406
127.0.0.1:5557,D,0.0007131099700927734
127.0.0.1:5556,A,0.0021016597747802734
127.0.0.1:5557,D,0.0009093284606933594
127.0.0.1:5556,A,0.0009288787841796875
127.0.0.1:5557,D,0.0009810924530029297
127.0.0.1:5556,A,0.0008561611175537109
127.0.0.1:5557,D,0.0007815361022949219
127.0.0.1:5556,A,0.0014710426330566406
127.0.0.1:5557,D,0.00081634521484375
127.0.0.1:5556,A,0.000720977783203125
127.0.0.1:5557,D,0.0006499290466308594
