publisher,topic,total_time_seconds
127.0.0.1:5556,A,0.0016217231750488281
127.0.0.1:5556,A,0.0005288124084472656
127.0.0.1:5556,A,0.00036716461181640625
127.0.0.1:5557,D,0.0010309219360351562
127.0.0.1:5556,A,0.00037980079650878906
127.0.0.1:5557,D,0.0005347728729248047
127.0.0.1:5556,A,0.0004191398620605469
127.0.0.1:5557,D,0.0006642341613769531
127.0.0.1:5556,A,0.000408172607421875
127.0.0.1:5557,D,0.0008456707000732422
127.0.0.1:5556,A,0.0007178783416748047
127.0.0.1:5557,D,0.0013883113861083984
127.0.0.1:5556,A,0.0004494190216064453
127.0.0.1:5557,D,0.0006902217864990234
127.0.0.1:5556,A,0.00042629241943359375
127.0.0.1:5557,D,0.0004353523254394531
127.0.0.1:5556,A,0.00037026405334472656
127.0.0.1:5557,D,0.0010707378387451172
127.0.0.1:5556,A,0.0004546642303466797
127.0.0.1:5557,D,0.0007708072662353516
127.0.0.1:5556,A,0.0004429817199707031
127.0.0.1:5557,D,0.0007109642028808594
127.0.0.1:5556,A,0.00043201446533203125
127.0.0.1:5557,D,0.0004937648773193359
127.0.0.1:5556,A,0.00051116943359375
127.0.0.1:5557,D,0.0012125968933105469
127.0.0.1:5556,A,0.0009002685546875
127.0.0.1:5557,D,0.0007891654968261719
127.0.0.1:5556,A,0.0006701946258544922
127.0.0.1:5557,D,0.0006756782531738281
127.0.0.1:5556,A,0.0004646778106689453
127.0.0.1:5557,D,0.0005388259887695312
127.0.0.1:5556,A,0.0004343986511230469
127.0.0.1:5557,D,0.0007419586181640625
127.0.0.1:5556,A,0.0005438327789306641
127.0.0.1:5557,D,0.00039386749267578125
127.0.0.1:5556,A,0.0009586811065673828
127.0.0.1:5557,D,0.0004534721374511719
127.0.0.1:5556,A,0.00041031837463378906
127.0.0.1:5557,D,0.0005409717559814453
127.0.0.1:5556,A,0.0005061626434326172
127.0.0.1:5557,D,0.0007178783416748047
127.0.0.1:5556,A,0.00039124488830566406
127.0.0.1:5557,D,0.0005719661712646484
127.0.0.1:5556,A,0.0012440681457519531
127.0.0.1:5557,D,0.0005705356597900391
127.0.0.1:5556,A,0.00043201446533203125
127.0.0.1:5557,D,0.0012428760528564453
127.0.0.1:5556,A,0.0005972385406494141
127.0.0.1:5557,D,0.0005598068237304688
127.0.0.1:5556,A,0.00043845176696777344
127.0.0.1:5557,D,0.0008275508880615234
127.0.0.1:5556,A,0.00046634674072265625
127.0.0.1:5557,D,0.0006535053253173828
127.0.0.1:5556,A,0.0003528594970703125
127.0.0.1:5557,D,0.0003459453582763672
127.0.0.1:5556,A,0.0011529922485351562
127.0.0.1:5557,D,0.0006365776062011719
127.0.0.1:5556,A,0.0003788471221923828
127.0.0.1:5557,D,0.0006384849548339844
