publisher,topic,total_time_seconds
10.0.0.4:5556,A,0.0008711814880371094
10.0.0.5:5556,D,0.0004603862762451172
10.0.0.4:5556,A,0.0016074180603027344
10.0.0.5:5556,D,0.0006947517395019531
10.0.0.4:5556,A,0.00048661231994628906
10.0.0.5:5556,D,0.001741170883178711
10.0.0.4:5556,A,0.0009882450103759766
10.0.0.5:5556,D,0.0008602142333984375
10.0.0.4:5556,A,0.0007312297821044922
10.0.0.5:5556,D,0.0008692741394042969
10.0.0.4:5556,A,0.001184701919555664
10.0.0.5:5556,D,0.0006291866302490234
10.0.0.4:5556,A,0.0004761219024658203
10.0.0.5:5556,D,0.0008330345153808594
10.0.0.4:5556,A,0.0005171298980712891
10.0.0.5:5556,D,0.0005846023559570312
10.0.0.5:5556,D,0.0008304119110107422
10.0.0.4:5556,A,0.0004620552062988281
10.0.0.5:5556,D,0.0006873607635498047
10.0.0.4:5556,A,0.0007076263427734375
10.0.0.5:5556,D,0.0006024837493896484
10.0.0.4:5556,A,0.0006561279296875
10.0.0.5:5556,D,0.0008723735809326172
10.0.0.4:5556,A,0.0006542205810546875
10.0.0.5:5556,D,0.0008466243743896484
10.0.0.4:5556,A,0.0006537437438964844
10.0.0.5:5556,D,0.0007114410400390625
10.0.0.4:5556,A,0.0003962516784667969
10.0.0.5:5556,D,0.0009737014770507812
10.0.0.4:5556,A,0.00045180320739746094
10.0.0.5:5556,D,0.000985860824584961
10.0.0.4:5556,A,0.0004246234893798828
10.0.0.5:5556,D,0.0006680488586425781
10.0.0.4:5556,A,0.00045013427734375
10.0.0.4:5556,A,0.0007436275482177734
10.0.0.5:5556,D,0.0008218288421630859
10.0.0.4:5556,A,0.0011322498321533203
10.0.0.5:5556,D,0.0012922286987304688
10.0.0.4:5556,A,0.0005779266357421875
10.0.0.5:5556,D,0.0007216930389404297
10.0.0.4:5556,A,0.0006458759307861328
10.0.0.5:5556,D,0.0008857250213623047
10.0.0.4:5556,A,0.0008828639984130859
10.0.0.5:5556,D,0.001016378402709961
10.0.0.4:5556,A,0.0005121231079101562
10.0.0.5:5556,D,0.00034332275390625
10.0.0.4:5556,A,0.0004870891571044922
10.0.0.5:5556,D,0.0005974769592285156
10.0.0.4:5556,A,0.0005822181701660156
10.0.0.5:5556,D,0.0007877349853515625
10.0.0.4:5556,A,0.00044536590576171875
10.0.0.5:5556,D,0.0005269050598144531
10.0.0.4:5556,A,0.0006463527679443359
10.0.0.5:5556,D,0.0008378028869628906
10.0.0.4:5556,A,0.0009267330169677734
10.0.0.5:5556,D,0.001068115234375
10.0.0.4:5556,A,0.0004124641418457031
10.0.0.5:5556,D,0.0005052089691162109
10.0.0.5:5556,D,0.0011205673217773438
10.0.0.4:5556,A,0.0010366439819335938
