publisher,topic,total_time_seconds
10.0.0.4:5556,B,0.0024993419647216797
10.0.0.5:5556,B,0.002674579620361328
10.0.0.4:5556,B,0.0016279220581054688
10.0.0.5:5556,B,0.0013229846954345703
10.0.0.4:5556,B,0.0019419193267822266
10.0.0.5:5556,B,0.0007474422454833984
10.0.0.4:5556,B,0.0008273124694824219
10.0.0.5:5556,B,0.0007364749908447266
10.0.0.4:5556,B,0.0013172626495361328
10.0.0.5:5556,B,0.005034208297729492
10.0.0.4:5556,B,0.0019528865814208984
10.0.0.5:5556,B,0.0008270740509033203
10.0.0.4:5556,B,0.001087188720703125
10.0.0.5:5556,B,0.0011203289031982422
10.0.0.4:5556,B,0.0006115436553955078
10.0.0.5:5556,B,0.0006022453308105469
10.0.0.4:5556,B,0.0017087459564208984
10.0.0.5:5556,B,0.002554178237915039
10.0.0.4:5556,B,0.0005609989166259766
10.0.0.5:5556,B,0.001138925552368164
10.0.0.4:5556,B,0.0012581348419189453
10.0.0.5:5556,B,0.0018186569213867188
10.0.0.4:5556,B,0.0010647773742675781
10.0.0.5:5556,B,0.0008037090301513672
10.0.0.4:5556,B,0.002252340316772461
10.0.0.5:5556,B,0.0007150173187255859
10.0.0.4:5556,B,0.0008141994476318359
10.0.0.5:5556,B,0.0007314682006835938
10.0.0.4:5556,B,0.0008933544158935547
10.0.0.5:5556,B,0.0006761550903320312
10.0.0.4:5556,B,0.0009367465972900391
10.0.0.5:5556,B,0.0008859634399414062
10.0.0.4:5556,B,0.0008552074432373047
10.0.0.5:5556,B,0.0009522438049316406
10.0.0.4:5556,B,0.0009663105010986328
10.0.0.5:5556,B,0.002020597457885742
10.0.0.4:5556,B,0.0015459060668945312
10.0.0.5:5556,B,0.0009241104125976562
10.0.0.4:5556,B,0.0014476776123046875
10.0.0.5:5556,B,0.00478053092956543
10.0.0.4:5556,B,0.0019834041595458984
10.0.0.5:5556,B,0.0009522438049316406
10.0.0.4:5556,B,0.0007917881011962891
10.0.0.5:5556,B,0.0008013248443603516
10.0.0.4:5556,B,0.0008842945098876953
10.0.0.5:5556,B,0.001220703125
10.0.0.4:5556,B,0.0012466907501220703
10.0.0.5:5556,B,0.0009109973907470703
10.0.0.4:5556,B,0.0013551712036132812
10.0.0.5:5556,B,0.0010609626770019531
10.0.0.4:5556,B,0.0008866786956787109
10.0.0.5:5556,B,0.0009784698486328125
10.0.0.4:5556,B,0.001798868179321289
10.0.0.5:5556,B,0.0011126995086669922
10.0.0.4:5556,B,0.0010831356048583984
10.0.0.5:5556,B,0.001249551773071289
10.0.0.4:5556,B,0.001321554183959961
10.0.0.5:5556,B,0.0007939338684082031
10.0.0.4:5556,B,0.0010344982147216797
10.0.0.5:5556,B,0.0007398128509521484
